year,farmcode,latitude,longitude,locationcode,slope,lower,upper,samples,location,type
2014,wa-1-conv,45.879433,-119.873017,1,NA,NA,NA,1,wa,conv
2014,wa-4-conv,47.19845,-122.34255,2,7.615844,6.579306,8.815684,50,wa,conv
2014,wa-4-org,47.226133,-122.369617,3,8.341535,7.066879,9.846102,28,wa,org
2014,wa-5-org,48.486917,-122.29285,4,6.461552,5.5808,7.481302,49,wa,org
2014,wa-3-org,46.582967,-123.113183,5,9.28173,7.071976,12.181959,13,wa,org
2014,wa-1-org,46.380633,-120.184333,6,NA,NA,NA,1,wa,org
2014,wa-4-int,47.062567,-122.186833,7,7.350347,6.670679,8.099265,50,wa,int
2014,wa-1-int,46.29075,-120.08945,8,5.765604,3.331833,9.97715,5,wa,int
2014,wa-2-int,46.18145,-123.0822,9,NA,NA,NA,1,wa,int
2014,wa-5-int,48.8587,-122.316733,10,7.972359,7.119376,8.92754,50,wa,int
2014,wa-3-int,46.803167,-123.147233,11,7.79449,7.012562,8.663607,50,wa,int
2014,or-5-conv,45.113283,-122.863717,12,7.56064,5.239848,10.90934,10,or,conv
2014,or-4-conv,44.60625,-123.223367,13,5.430282,4.575343,6.444974,20,or,conv
2014,or-3-conv,44.00015,-122.9337,14,6.503564,5.611829,7.536999,37,or,conv
2014,or-2-conv,43.268567,-123.422217,15,7.947497,6.852495,9.217476,50,or,conv
2014,or-4-org,44.53025,-123.371883,16,6.226806,4.485124,8.644826,8,or,org
2014,or-5-org,45.31265,-123.017283,18,8.181643,6.655001,10.058492,23,or,org
2014,or-3-org,43.881667,-122.818717,19,6.11666,4.090054,9.147441,7,or,org
2014,or-4-int,44.565383,-123.2411,20,5.369984,4.268972,6.754959,18,or,int
2014,or-3-int,44.095617,-123.465067,21,6.284895,5.242489,7.534571,31,or,int
2014,or-5-int,45.114367,-122.9588,23,4.189995,1.459891,12.025596,5,or,int
2014,or-2-int,43.119433,-123.275267,24,7.858038,4.116029,15.002022,3,or,int
2015,wa-1-conv,45.901133,-119.896667,35,NA,NA,NA,2,wa,conv
2015,wa-4-conv,47.198517,-122.344367,36,7.88435,5.857236,10.613021,12,wa,conv
2015,wa-4-org,47.2261,-122.369083,37,6.511038,4.913203,8.62851,22,wa,org
2015,wa-5-org,48.487033,-122.2931,38,5.578017,4.836755,6.432881,50,wa,org
2015,wa-3-org,46.582917,-123.113467,39,6.543281,5.825915,7.34898,50,wa,org
2015,wa-1-org,45.93285,-119.909817,40,7.28031,4.689188,11.303218,8,wa,org
2015,wa-4-int,47.062333,-122.186883,41,6.631057,5.86972,7.491144,39,wa,int
2015,wa-1-int,46.290717,-120.089417,42,7.405525,5.756305,9.527258,9,wa,int
2015,wa-5-int,48.857967,-122.31695,43,7.697499,6.908852,8.576169,50,wa,int
2015,wa-3-int,46.803617,-123.134083,44,6.903743,6.233933,7.645522,50,wa,int
2015,or-5-conv,45.11025,-122.865217,45,5.332552,4.007051,7.096518,15,or,conv
2015,or-4-conv,44.606267,-123.2236,46,6.156462,5.174384,7.324934,29,or,conv
2015,or-3-conv,44.072417,-122.7833,47,7.390651,5.828014,9.37227,12,or,conv
2015,or-2-conv,43.254017,-123.440683,48,6.556214,5.378912,7.991197,31,or,conv
2015,or-4-org,44.530233,-123.3689,49,6.912235,5.272754,9.061488,8,or,org
2015,or-5-org,45.233683,-122.91515,51,6.712178,4.25195,10.595924,8,or,org
2015,or-3-org,43.881817,-122.818683,52,7.021996,3.202532,15.396698,4,or,org
2015,or-4-int,44.565617,-123.240967,53,6.395191,5.180736,7.894336,17,or,int
2015,or-3-int,44.0958,-123.4646,54,5.867212,4.809487,7.157559,26,or,int
2015,or-5-int,45.20285,-122.580017,56,6.306353,4.773684,8.33111,10,or,int
2015,or-2-int,43.119633,-123.275417,57,9.437996,5.073205,17.558084,7,or,int
2014,BC-org,49.038092,-123.073018,71,NA,NA,NA,1,BC,org
2015,BC- int,49.07872,-123.152186,73,11.0010792,0.5075144,238.4636625,3,BC,int
